account_id,service_penetration,engagement_score,growth_metrics_qoq,revenue_concentration
ACME-EU-00001,0.3745401188473625,82.7518922106303,0.28727104055488417,0.5428781323608052
ACME-EU-00002,0.9507143064099162,76.45277946547176,0.4468713187500428,0.8328935948872295
ACME-EU-00003,0.7319939418114051,57.352895145557326,1.2090947864043606,0.12508890983640353
ACME-EU-00004,0.5986584841970366,95.60471436119332,0.18000877211978428,0.12978296572261128
ACME-EU-00005,0.15601864044243652,20.04745155284028,1.2392993696243426,0.5568183602783076
ACME-EU-00006,0.15599452033620265,10.92642103096214,-0.323731138046617,0.9463786533583709
ACME-EU-00007,0.05808361216819946,85.39619669554222,1.0535968744172615,0.41499775837075425
ACME-EU-00008,0.8661761457749352,43.91498166337483,1.1950952661094727,0.32694210025469495
ACME-EU-00009,0.6011150117432088,84.69688542070605,-0.1363646943253225,0.6066893231978858
ACME-EU-00010,0.7080725777960455,89.30902051954149,0.3606930647444009,0.9304486005450311
ACME-EU-00011,0.020584494295802447,6.245759361907144,-0.16900045067268876,0.8369278328446237
ACME-EU-00012,0.9699098521619943,88.34647629860606,0.9132082579884355,0.9954836107332199
ACME-EU-00013,0.8324426408004217,44.831905536942216,0.5706955361233135,0.02256858320237709
ACME-EU-00014,0.21233911067827616,51.04324890042322,0.770646693416642,0.11285814471276223
ACME-EU-00015,0.18182496720710062,62.659251109321026,-0.1070260660875777,0.609467763366622
ACME-EU-00016,0.18340450985343382,92.63826067300867,-0.07650827589516096,0.8205764393338497
ACME-EU-00017,0.3042422429595377,1.911609442976403,-0.41700534898018726,0.28524434230676654
ACME-EU-00018,0.5247564316322378,47.68434683178171,0.14413507039145945,0.23921108803421876
ACME-EU-00019,0.43194501864211576,68.77220424305607,0.6194893226673499,0.7869757993812009
ACME-EU-00020,0.2912291401980419,72.27069576982285,1.2158698279946576,0.05638185385323158
ACME-EU-00021,0.6118528947223795,69.2532431537108,0.8338548949173614,0.3693826475825851
ACME-EU-00022,0.13949386065204183,13.443512940812186,0.37079264679950286,0.5058092225923297
ACME-EU-00023,0.29214464853521815,29.93955883716812,1.4062402287882756,0.5603486743503234
ACME-EU-00024,0.3663618432936917,35.87155254170135,0.9384904011516637,0.7286151567927769
ACME-EU-00025,0.45606998421703593,80.4437207679505,1.3603304057251,0.35484572343065823
ACME-EU-00026,0.7851759613930136,27.875987241455302,0.5551759465443313,0.6126843446746072
ACME-EU-00027,0.19967378215835974,21.070496386720315,0.0178085495862792,0.5853754227909563
ACME-EU-00028,0.5142344384136116,95.74480190380962,-0.394346627270556,0.5476161006537471
ACME-EU-00029,0.5924145688620425,0.88632851134689,0.952169702967701,0.6404832931422122
ACME-EU-00030,0.046450412719997725,99.78208556819781,-0.25739400398893175,0.2594491710680763
ACME-EU-00031,0.6075448519014384,67.68212988573956,0.10555025654393435,0.08464875358462898
ACME-EU-00032,0.17052412368729153,82.84692994491171,0.5649418157677948,0.11927167203974343
ACME-EU-00033,0.06505159298527952,29.461939634619316,0.6288331755594954,0.22458238265390107
ACME-EU-00034,0.9488855372533332,1.4315277667059978,0.701166393974272,0.5001979355227852
ACME-EU-00035,0.9656320330745594,73.78695185615301,-0.16748933930059873,0.8404427505460201
ACME-EU-00036,0.8083973481164611,83.41445970006758,0.2594748096432975,0.7012933420883841
ACME-EU-00037,0.3046137691733707,74.04761319535191,0.7343884542339334,0.7890406042020471
ACME-EU-00038,0.09767211400638387,14.285028730083859,1.4396377292675695,0.3509756239260914
ACME-EU-00039,0.6842330265121569,75.34279222569691,0.9552622753993774,0.40465374164855017
ACME-EU-00040,0.4401524937396013,76.8922782107641,1.3452075141879156,0.3936818859906128
ACME-EU-00041,0.12203823484477883,65.85405156700548,1.024424116628354,0.19187318440450152
ACME-EU-00042,0.4951769101112702,76.61159327955862,0.6834339377848009,0.06121665814357202
ACME-EU-00043,0.034388521115218396,84.59214396777321,-0.11595326172731091,0.5909160928272268
ACME-EU-00044,0.9093204020787821,61.360411423745845,0.8333713037850261,0.9892166834205861
ACME-EU-00045,0.2587799816000169,8.860471396967906,0.7467591319198141,0.16682970495026284
ACME-EU-00046,0.662522284353982,48.76278096672109,0.7049383409145329,0.046684819899273755
ACME-EU-00047,0.31171107608941095,7.764933467160507,0.4795717359764815,0.779531681823933
ACME-EU-00048,0.5200680211778108,40.75430310324308,0.5573132079785512,0.2525860066847242
ACME-EU-00049,0.5467102793432796,40.71064891256276,0.16888505423620814,0.8296438053529284
ACME-EU-00050,0.18485445552552704,6.600984414024158,0.5386253852846064,0.7039366670345154
ACME-EU-00051,0.9695846277645586,34.88205339694793,-0.1048881886430435,0.9456735370508046
ACME-EU-00052,0.7751328233611146,11.099809879131485,1.1103487947207535,0.408927235756672
ACME-EU-00053,0.9394989415641891,80.82352100092221,-0.12844609060258438,0.6619698394506341
