account_id,status,ICP_fit_score,buy_upsell_propensity,priority_bucket,whitespace_flag,upcoming_launch_flag,service_penetration_score,existing_middle_office_flag,esg_policy_support_flag,current_aum_with_iqeq,total_fund_aum,yoy_revenue_growth,historic_win_rate,avg_deal_size_eur
ACC_IT_0115,prospect,0.9942423190727334,0.988484638145467,A,False,1,0.0,0,0,0,2394490733,-0.129,0.6666666666666666,2510230.8571428573
ACC_NL_0147,prospect,0.9923989714858839,0.9847979429717676,A,False,1,0.0,0,0,0,2311149200,0.069,0.6666666666666666,3208923.5
ACC_NL_0097,prospect,0.9923666837339189,0.9847333674678377,A,False,1,0.0,0,0,0,564079286,-0.186,0.4,622747.5
ACC_NL_0056,prospect,0.6923559438026903,0.9847118876053805,A,False,1,0.0,0,0,0,424546257,-0.192,0.8,490190.375
ACC_LU_0057,prospect,0.9915329208523058,0.9830658417046118,A,False,1,0.0,0,0,0,2591134887,-0.095,0.5,3102418.1666666665
ACC_LU_0098,prospect,0.6899866224403389,0.9799732448806778,A,False,1,0.0,0,0,0,1818260445,-0.079,0.8,612211.2857142857
ACC_FR_0014,prospect,0.9899557592459816,0.9799115184919632,A,False,1,0.0,0,1,0,2269901337,-0.177,0.6666666666666666,2520387.3333333335
ACC_NL_0075,prospect,0.9881240659025268,0.9762481318050537,A,False,1,0.0,0,1,0,1135427237,-0.121,0.5,936448.75
ACC_FR_0130,prospect,0.6878293716792445,0.9756587433584891,A,False,1,0.0,0,1,0,989703233,0.004,0.8333333333333334,2466270.0
ACC_LU_0049,prospect,0.9877544655874526,0.9755089311749052,A,False,1,0.0,0,1,0,1909050143,-0.067,0.5,3147801.285714286
ACC_LU_0067,prospect,0.9875650557449245,0.9751301114898488,A,False,1,0.0,0,0,0,2689343868,0.009,0.6,939031.2857142857
ACC_IT_0063,prospect,0.6871697404274106,0.9743394808548212,A,False,1,0.0,0,0,0,2940512120,0.224,0.6,883192.375
ACC_IT_0092,prospect,0.9871391431046741,0.9742782862093484,A,False,1,0.0,0,1,0,2253822755,0.255,1.0,2477044.0
ACC_NL_0109,prospect,0.9870804882867912,0.9741609765735822,A,False,1,0.0,0,0,0,2800003262,0.045,0.5,2173950.1428571427
ACC_NL_0003,prospect,0.9862578209736452,0.9725156419472905,A,False,1,0.0,0,0,0,1917219336,0.253,0.3333333333333333,2869902.6666666665
ACC_LU_0065,prospect,0.6855636957488802,0.9711273914977604,A,False,1,0.0,0,0,0,1873336350,0.139,0.8,489076.5
ACC_LU_0090,prospect,0.9848814987519694,0.9697629975039389,A,False,1,0.0,0,0,0,1931661930,0.157,1.0,873331.75
ACC_NL_0016,prospect,0.9844601285250001,0.9689202570500004,A,False,1,0.0,0,0,0,1244620761,-0.015,0.5,2759086.0
ACC_LU_0118,prospect,0.9841763972462405,0.9683527944924812,A,False,1,0.0,0,0,0,2365913111,0.038,0.2,3675418.6
ACC_NL_0032,client,0.983239935167773,0.9664798703355458,A,True,1,0.454,0,0,913861206,2012664037,-0.197,0.6,2813568.888888889
ACC_FR_0078,prospect,0.9831538406129714,0.9663076812259429,A,False,1,0.0,0,0,0,538417284,0.145,0.75,913921.4
