account_id,product_id,is_active,current_revenue_eur
ACME-EU-90001,P-001,False,0
ACME-EU-90001,P-002,False,0
ACME-EU-90001,P-003,False,0
ACME-EU-90001,P-004,False,0
ACME-EU-90001,P-005,False,0
ACME-EU-90001,P-006,True,29365
ACME-EU-90001,P-007,False,0
ACME-EU-90002,P-001,True,12872
ACME-EU-90002,P-002,False,0
ACME-EU-90002,P-003,False,0
ACME-EU-90002,P-004,True,49831
ACME-EU-90002,P-005,False,0
ACME-EU-90002,P-006,False,0
ACME-EU-90002,P-007,False,0
ACME-EU-90003,P-001,True,17549
ACME-EU-90003,P-002,False,0
ACME-EU-90003,P-003,False,0
ACME-EU-90003,P-004,False,0
ACME-EU-90003,P-005,False,0
ACME-EU-90003,P-006,False,0
ACME-EU-90003,P-007,False,0
ACME-EU-90004,P-001,False,0
ACME-EU-90004,P-002,False,0
ACME-EU-90004,P-003,False,0
ACME-EU-90004,P-004,False,0
ACME-EU-90004,P-005,False,0
ACME-EU-90004,P-006,False,0
ACME-EU-90004,P-007,False,0
ACME-EU-90005,P-001,True,18741
ACME-EU-90005,P-002,False,0
ACME-EU-90005,P-003,False,0
ACME-EU-90005,P-004,False,0
ACME-EU-90005,P-005,True,5813
ACME-EU-90005,P-006,False,0
ACME-EU-90005,P-007,True,21491
ACME-EU-90006,P-001,False,0
ACME-EU-90006,P-002,False,0
ACME-EU-90006,P-003,False,0
ACME-EU-90006,P-004,False,0
ACME-EU-90006,P-005,False,0
ACME-EU-90006,P-006,False,0
ACME-EU-90006,P-007,True,31544
ACME-EU-90007,P-001,False,0
ACME-EU-90007,P-002,False,0
ACME-EU-90007,P-003,False,0
ACME-EU-90007,P-004,False,0
ACME-EU-90007,P-005,False,0
ACME-EU-90007,P-006,False,0
ACME-EU-90007,P-007,False,0
ACME-EU-90008,P-001,False,0
ACME-EU-90008,P-002,True,27463
ACME-EU-90008,P-003,False,0
ACME-EU-90008,P-004,False,0
ACME-EU-90008,P-005,True,49754
ACME-EU-90008,P-006,False,0
ACME-EU-90008,P-007,True,44757
ACME-EU-90009,P-001,False,0
ACME-EU-90009,P-002,False,0
ACME-EU-90009,P-003,False,0
ACME-EU-90009,P-004,False,0
ACME-EU-90009,P-005,False,0
ACME-EU-90009,P-006,False,0
ACME-EU-90009,P-007,True,18756
ACME-EU-90010,P-001,True,17081
ACME-EU-90010,P-002,False,0
ACME-EU-90010,P-003,False,0
ACME-EU-90010,P-004,False,0
ACME-EU-90010,P-005,False,0
ACME-EU-90010,P-006,False,0
ACME-EU-90010,P-007,True,14401
ACME-EU-90011,P-001,False,0
ACME-EU-90011,P-002,False,0
ACME-EU-90011,P-003,True,18288
ACME-EU-90011,P-004,False,0
